,sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
0,5.5,2.5,4.0,1.3,versicolor,0.8813005427252537
1,6.9,3.1,5.1,2.3,virginica,0.9351657345594286
2,5.1,2.5,3.0,1.1,versicolor,0.8520732076544835
3,4.4,2.9,,0.2,setosa,0.7393637306683317
4,5.9,3.0,5.1,1.8,virginica,0.669339354396745
5,5.5,3.5,1.3,0.2,setosa,0.9610046587516818
6,5.6,,3.6,1.3,versicolor,0.8112036530491862
7,6.5,3.0,5.2,2.0,virginica,0.840124998280152
8,5.3,3.7,1.5,0.2,setosa,0.9822803652846329
9,5.1,3.4,1.5,,setosa,0.902571893795027
10,6.1,2.8,4.0,1.3,versicolor,0.8987218152601069
11,5.5,2.4,3.7,1.0,versicolor,0.9430090632809981
12,7.7,3.0,6.1,2.3,virginica,0.9820995892168011
13,6.9,3.1,4.9,1.5,versicolor,0.6750405491510816
14,6.0,2.2,5.0,1.5,virginica,0.5106337942552072
